Caption	Description	Identifying Number	Install Date	Install Location	Install State	Name	Package Cache	SKU Number	Vendor	Version
Roxio Creator Tools	Roxio Creator Tools	{0394CDC8-FABD-4ED8-B104-03393876DFDF}	C:\Program Files (x86)\Common Files\Roxio Shared\9.0\Roxio Central33\Tools\	5	Roxio Creator Tools	C:\Windows\Installer\33530e.msi		Roxio	3.5.0
DisplayLink Core Software	DisplayLink Core Software	{E0BF66E8-0D62-40AD-9C9E-20CDF8B64951}	C:\Program Files\DisplayLink Core Software\	5	DisplayLink Core Software	C:\Windows\Installer\55717.msi		DisplayLink Corp.	6.3.38355.0
Microsoft Visual Studio 2005 Tools for Office Runtime	Microsoft Visual Studio 2005 Tools for Office Runtime	{388E4B09-3E71-4649-8921-F44A3A2954A7}		5	Microsoft Visual Studio 2005 Tools for Office Runtime	c:\Windows\Installer\3ea1d.msi		Microsoft Corporation	8.0.60891.0
Roxio Drag-to-Disc	Roxio Drag-to-Disc	{AAE78E39-FAAF-4C19-A63E-BDED7428FDE1}	C:\Program Files\Roxio\Drag-to-Disc\	5	Roxio Drag-to-Disc	C:\Windows\Installer\335350.msi		Roxio	9.1
SCR3xxx Smart Card Reader	SCR3xxx Smart Card Reader	{FF118D79-F61B-4379-A059-5A3250324326}	C:\Program Files (x86)\SCM Microsystems\SCR3xxx\	5	SCR3xxx Smart Card Reader	C:\Windows\Installer\3e4e38.msi		SCM Microsystems	8.45
Microsoft Visual C++ 2005 Redistributable (x64)	Microsoft Visual C++ 2005 Redistributable (x64)	{6ce5bae9-d3ca-4b99-891a-1dc6c118a5fc}		5	Microsoft Visual C++ 2005 Redistributable (x64)	C:\Windows\Installer\1e5db1d9.msi		Microsoft Corporation	8.0.59192
VMware vSphere Client 4.0	VMware vSphere Client 4.0	{C40698F9-A861-4531-9F8C-FA7F8961375B}	C:\Program Files (x86)\VMware\Infrastructure\	5	VMware vSphere Client 4.0	C:\Windows\Installer\1e0621.msi		VMware, Inc.	4.0.0.10021
tools-linux	tools-linux	{D102611A-6466-4101-A51D-51069303AC65}		5	tools-linux	C:\Windows\Installer\4a048f.msi		VMware, Inc.	8.8.4.744019
McAfee Host Intrusion Prevention	McAfee Host Intrusion Prevention	{B332732A-4958-41DD-B439-DDA2D32753C5}	C:\Program Files (x86)\McAfee\Host Intrusion Prevention\	5	McAfee Host Intrusion Prevention	C:\Windows\Installer\1e4964dd.msi		McAfee, Inc.	7.00.0800
VMware Workstation	VMware Workstation	{0D94F75A-0EA6-4951-B3AF-B145FA9E05C6}	C:\Program Files (x86)\VMware\VMware Workstation\	5	VMware Workstation	C:\Windows\Installer\4a0483.msi		VMware, Inc.	8.0.4.30409
